time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010444850000	10.0328	1.42869	5.00716	0.296759	0.293977	radar	11.7784	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
1477010444900000	10.2711	1.49322	5.00334	0.306368	0.287222	lidar	0.0892203	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
1477010444950000	10.4913	1.58663	4.74996	0.334689	0.311423	radar	5.69464	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
1477010445000000	10.7214	1.61323	4.73235	0.323769	0.2766	lidar	1.53241	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
1477010445050000	10.9894	1.64132	5.07718	0.304438	0.226182	radar	11.3176	11.4783	1.42876	11.0979	1.637	4.8844	1.46213
1477010445100000	11.2568	1.68238	5.08072	0.295717	0.199667	lidar	5.53859	11.587	1.61462	11.3416	1.71179	4.85948	1.52832
1477010445150000	11.4947	1.72383	4.96325	0.290736	0.18164	radar	1.5274	11.4763	1.53917	11.584	1.78992	4.83313	1.59551
1477010445200000	11.7363	1.78159	4.96047	0.292362	0.171913	lidar	0.16816	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366
1477010445250000	11.9926	1.89614	5.24848	0.316982	0.188835	radar	5.51812	12.136	2.14937	12.0647	1.95639	4.77598	1.73273
1477010445300000	12.2532	1.92396	5.23415	0.298535	0.152655	lidar	1.47136	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265
1477010445350000	12.5167	1.97105	5.32977	0.288602	0.128062	radar	1.47848	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338
1477010445400000	12.755	2.08962	5.33518	0.316681	0.156042	lidar	1.77844	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485
1477010445450000	13.0136	2.23272	5.49079	0.350228	0.186584	radar	4.98391	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701
1477010445500000	13.2551	2.35815	5.4929	0.375275	0.206813	lidar	1.53663	13.0875	2.40708	13.2388	2.43409	4.605	2.08981
1477010445550000	13.4262	2.57954	4.92455	0.463799	0.325908	radar	33.6895	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317
1477010445600000	13.6613	2.66382	4.92069	0.465521	0.307292	lidar	1.59654	13.836	2.62479	13.6955	2.65053	4.52448	2.23703
1477010445650000	13.8855	2.77086	4.9802	0.476057	0.298759	radar	0.261606	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134
1477010445700000	14.1104	2.89756	4.99091	0.495424	0.304239	lidar	0.577281	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601
1477010445750000	14.3661	2.99282	5.31571	0.484722	0.25856	radar	7.01945	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099
1477010445800000	14.6005	3.06401	5.27624	0.473104	0.227916	lidar	2.32243	14.4616	2.90734	14.583	3.12802	4.34097	2.5362
1477010445850000	14.8212	3.27092	5.38701	0.523417	0.274914	radar	8.0834	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157
1477010445900000	15.0458	3.43799	5.40474	0.55193	0.293438	lidar	0.327855	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703
1477010445950000	15.2362	3.64684	5.15223	0.61204	0.365886	radar	8.83103	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249
1477010446000000	15.4493	3.80181	5.15894	0.631968	0.367865	lidar	0.29822	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789
1477010446050000	15.6712	3.90165	5.14583	0.623312	0.332632	radar	3.45687	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315
1477010446100000	15.8892	4.03198	5.13167	0.629149	0.319347	lidar	0.460653	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817
1477010446150000	16.0791	4.18188	4.89934	0.654197	0.341973	radar	3.85437	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629
1477010446200000	16.2693	4.362	4.92627	0.684172	0.357855	lidar	0.578574	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723
1477010446250000	16.4822	4.50844	5.09981	0.686184	0.327769	radar	2.88418	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109
1477010446300000	16.6718	4.67701	5.10206	0.705816	0.33172	lidar	0.222517	16.6039	4.67344	16.613	4.5849	3.74	3.28438
